"x","y"
"3338.21167","-1.57E-14"
"3340.044433","4.25E-14"
"3341.877196","2.57E-14"
"3343.709959","2.92E-14"
"3345.542722","3.62E-14"
"3347.375485","-2.95E-15"
"3349.208247","6.18E-15"
"3351.04101","1.35E-14"
"3352.873773","1.16E-14"
"3354.706536","2.15E-14"
"3356.539299","3.63E-14"
"3358.372062","3.99E-14"
"3360.204825","3.01E-14"
"3362.037588","4.34E-15"
"3363.870351","1.23E-14"
"3365.703114","3.19E-15"
"3367.535877","2.81E-16"
"3369.36864","1.91E-14"
"3371.201403","3.47E-14"
"3373.034165","3.04E-14"
"3374.866928","2.93E-14"
"3376.699691","2.32E-14"
"3378.532454","2.10E-14"
"3380.365217","2.57E-14"
"3382.19798","2.87E-14"
"3384.030743","1.67E-14"
"3385.863506","1.99E-14"
"3387.696269","1.34E-14"
"3389.529032","9.71E-15"
"3391.361795","3.45E-15"
"3393.194558","1.85E-14"
"3395.027321","2.60E-14"
"3396.860084","2.22E-14"
"3398.692846","2.36E-14"
"3400.525609","2.58E-14"
"3402.358372","1.98E-14"
"3404.191135","2.14E-14"
"3406.023898","2.54E-14"
"3407.856661","2.19E-14"
"3409.689424","2.00E-14"
"3411.522187","1.73E-14"
"3413.35495","1.49E-14"
"3415.187713","2.17E-14"
"3417.020476","1.87E-14"
"3418.853239","2.52E-14"
"3420.686002","2.25E-14"
"3422.518764","1.95E-14"
"3424.351527","1.81E-14"
"3426.18429","8.35E-15"
"3428.017053","1.01E-14"
"3429.849816","1.30E-14"
"3431.682579","2.76E-14"
"3433.515342","2.88E-14"
"3435.348105","1.89E-14"
"3437.180868","1.80E-14"
"3439.013631","2.57E-14"
"3440.846394","1.87E-14"
"3442.679157","1.88E-14"
"3444.51192","2.55E-14"
"3446.344683","2.79E-14"
"3448.177445","2.12E-14"
"3450.010208","2.18E-14"
"3451.842971","2.51E-14"
"3453.675734","2.16E-14"
"3455.508497","1.90E-14"
"3457.34126","1.69E-14"
"3459.174023","2.27E-14"
"3461.006786","2.15E-14"
"3462.839549","1.56E-14"
"3464.672312","1.95E-14"
"3466.505075","2.29E-14"
"3468.337838","1.87E-14"
"3470.170601","1.97E-14"
"3472.003363","2.12E-14"
"3473.836126","2.30E-14"
"3475.668889","2.03E-14"
"3477.501652","1.56E-14"
"3479.334415","1.66E-14"
"3481.167178","1.89E-14"
"3482.999941","2.16E-14"
"3484.832704","1.90E-14"
"3486.665467","1.73E-14"
"3488.49823","1.85E-14"
"3490.330993","2.11E-14"
"3492.163756","1.97E-14"
"3493.996519","2.15E-14"
"3495.829281","2.03E-14"
"3497.662044","2.09E-14"
"3499.494807","1.94E-14"
"3501.32757","1.73E-14"
"3503.160333","1.79E-14"
"3504.993096","1.83E-14"
"3506.825859","1.81E-14"
"3508.658622","1.97E-14"
"3510.491385","1.89E-14"
"3512.324148","1.76E-14"
"3514.156911","2.30E-14"
"3515.989674","1.98E-14"
"3517.822437","1.62E-14"
"3519.6552","1.52E-14"
"3521.487962","1.85E-14"
"3523.320725","2.03E-14"
"3525.153488","1.85E-14"
"3526.986251","1.63E-14"
"3528.819014","1.69E-14"
"3530.651777","1.91E-14"
"3532.48454","2.05E-14"
"3534.317303","1.77E-14"
"3536.150066","1.92E-14"
"3537.982829","2.03E-14"
"3539.815592","2.05E-14"
"3541.648355","2.14E-14"
"3543.481118","1.68E-14"
"3545.31388","1.62E-14"
"3547.146643","1.73E-14"
"3548.979406","1.71E-14"
"3550.812169","1.84E-14"
"3552.644932","1.84E-14"
"3554.477695","1.65E-14"
"3556.310458","1.81E-14"
"3558.143221","1.79E-14"
"3559.975984","1.65E-14"
"3561.808747","1.82E-14"
"3563.64151","1.85E-14"
"3565.474273","1.80E-14"
"3567.307036","1.76E-14"
"3569.139798","1.85E-14"
"3570.972561","1.70E-14"
"3572.805324","2.03E-14"
"3574.638087","1.72E-14"
"3576.47085","1.76E-14"
"3578.303613","1.78E-14"
"3580.136376","1.56E-14"
"3581.969139","1.79E-14"
"3583.801902","1.92E-14"
"3585.634665","2.00E-14"
"3587.467428","2.03E-14"
"3589.300191","2.02E-14"
"3591.132954","2.09E-14"
"3592.965717","1.71E-14"
"3594.798479","1.62E-14"
"3596.631242","1.89E-14"
"3598.464005","1.76E-14"
"3600.296768","1.81E-14"
"3602.129531","1.89E-14"
"3603.962294","1.95E-14"
"3605.795057","2.08E-14"
"3607.62782","1.96E-14"
"3609.460583","1.88E-14"
"3611.293346","1.93E-14"
"3613.126109","2.01E-14"
"3614.958872","2.11E-14"
"3616.791635","1.73E-14"
"3618.624397","1.92E-14"
"3620.45716","1.90E-14"
"3622.289923","2.03E-14"
"3624.122686","1.81E-14"
"3625.955449","1.48E-14"
"3627.788212","1.69E-14"
"3629.620975","1.82E-14"
"3631.453738","1.60E-14"
"3633.286501","1.67E-14"
"3635.119264","2.27E-14"
"3636.952027","2.00E-14"
"3638.78479","1.74E-14"
"3640.617553","1.56E-14"
"3642.450315","1.56E-14"
"3644.283078","1.76E-14"
"3646.115841","1.92E-14"
"3647.948604","1.76E-14"
"3649.781367","1.75E-14"
"3651.61413","1.87E-14"
"3653.446893","1.76E-14"
"3655.279656","1.40E-14"
"3657.112419","1.62E-14"
"3658.945182","1.62E-14"
"3660.777945","1.40E-14"
"3662.610708","1.35E-14"
"3664.443471","1.52E-14"
"3666.276234","1.62E-14"
"3668.108996","1.40E-14"
"3669.941759","1.43E-14"
"3671.774522","1.48E-14"
